,2013,2014,2015,2016,2017,2018,20191),20201),20211)
Белгородская область,"17647,4","18962,4","21710,1","22760,1",23311,23668,"25110,3","25874,7","28119,1"
Брянская область,"14592,1","16093,4","18514,8","18937,3","19860,3","20959,9","22422,6",22919,"24997,5"
Владимирская область,"14358,5","15723,9","18417,1","18208,3","19241,1","19365,7","20985,3","21662,8","23689,2"
Воронежская область,"16261,3","18723,3","22056,5","22091,4","22460,7","23107,1",24566,"24702,8","26813,5"
Ивановская область,"14169,5","15910,5","18057,7","18999,3","19938,6",19785,"20764,9","21397,1","23280,4"
Калужская область,"17181,4","18924,1",21636,"22675,6","22954,6","23523,1","25225,1","26281,9","27846,2"
Костромская область,"13801,1","15437,1","17910,6",18804,"19587,3","19659,8","20975,8","21600,3","23516,6"
Курская область,"15195,3","16998,2","19914,7","19934,1","20700,7",21682,23265,"23927,4","26045,5"
Липецкая область,"16764,3","18761,3","21080,7","21684,4","22482,7","23154,5","25104,3","25519,4","27376,5"
Московская область,24435,"26169,9","29541,3","31517,3",32528,"34364,4","36508,2","37190,6","41861,1"
Орловская область,"13681,7","15146,7","17725,4","18305,4","19148,2","19910,3","20991,4","21853,4","23707,6"
Рязанская область,"14866,5","16697,3",18814,"18944,2","19374,2","20329,9","21490,9","22086,5","24462,2"
Смоленская область,"14888,1","16446,1","18997,2","19006,4","19487,3","20303,3","21538,5","22100,5","23960,5"
Тамбовская область,"14706,6","16804,5",19473,"20112,7",20444,"21138,8","22403,5","22605,3","24314,2"
Тверская область,"15536,6","17066,8","19554,5","19829,3","20214,6","20805,7","22438,2","23038,1","25227,3"
Тульская область,"15673,9","17524,6","20448,7","21464,1","21849,6","22136,9","23397,8","24233,5","26146,5"
Ярославская область,"15962,2","17708,5","20761,2","21012,5","21626,4","21876,5","23190,2","24094,4","26845,3"
г. Москва,"36736,6","38551,8","43721,6","45229,2","48505,5","51770,2","56156,2","58251,2","64578,9"
Республика Карелия,"17566,6","18667,4",21397,"21797,7","22771,1",24054,"25476,4","26884,7","28824,6"
Республика Коми,"21228,4","22502,1","23914,9","24572,6","25198,8","26642,7","27813,1","28987,4","30483,3"
Архангельская область,"20010,4","22320,2","25127,4",24990,"25349,1",26470,"27990,9","29407,4","31381,5"
Ненецкий автономный округ,"47683,4","48611,2","52723,6","52607,2","54319,4","57348,2","58224,4","61686,5","62538,5"
"Архангельская область без 
автономного округа",19141,"21499,4","24266,7","24112,7","24394,8","25646,5","27164,4","28332,7","30440,4"
Вологодская область,"15206,7","17431,9","20101,5","21263,8","21143,9","21945,8",23026,24016,"25550,5"
Калининградская область,"15688,8","17639,9","20304,6","20569,4","21391,6","22260,4",23497,"24079,6","26032,6"
Ленинградская область,"15449,6","16832,4","20167,9",22387,"23556,5","25058,3","26163,6","26963,7","29382,5"
Мурманская область,"24566,4","26493,5","29398,4","29895,9","31586,7","33661,6","36499,2","38659,1","42182,5"
Новгородская область,"15861,1","17753,4",20154,"20065,3","20740,4","20944,2","21575,6","22012,1",23873
Псковская область,"14182,7","15865,9","17738,6","18156,9","19016,7","19472,9","20791,3","21526,4","23735,5"
г. Cанкт-Петербург,"21729,1","23978,6","28135,3","29863,5",31937,"34081,6","35803,9","37462,4","43003,1"
Республика Адыгея,"14416,3","16902,6","17973,6","19270,6","20279,8","20897,9",22010,22950,"25813,3"
Республика Калмыкия,"9220,2","10273,7","12241,7","12657,9","13384,5","14121,2","15359,9","16438,8","17628,7"
Республика Крым, , ,"13427,1","14931,2","16371,9","17618,9","18582,3","19198,3","21656,9"
Краснодарский край,"18536,1","20680,3","23312,5","24427,3","25248,2","26312,8","27723,6","28395,3","31475,1"
Астраханская область,15041,"16630,8","18337,5","17798,3","18355,4","19022,9","20134,4","20511,9","21798,6"
Волгоградская область,"14404,9","15547,7",17864,"17555,1","18106,9","18589,7","19787,3","20587,6","22591,2"
Ростовская область,"15737,6","17588,6","20025,7","20606,1","21288,2","22114,8","23488,6","24322,5","26769,2"
г. Севастополь,,,"15345,7","21211,6","22691,5","23121,9","24369,2","24503,6","27100,5"
